State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,1,190,Alabaster City School District,"34,669","6,710",649
AL,1,5,Albertville City School District,"22,051","4,131",957
AL,1,30,Alexander City City School District,"16,920","2,575",703
AL,1,60,Andalusia City School District,"8,842","1,465",406
AL,1,90,Anniston City School District,"22,043","3,065","1,057"
AL,1,100,Arab City School District,"8,414","1,523",225
AL,1,120,Athens City School District,"26,143","4,040",630
AL,1,180,Attalla City School District,"6,000",936,268
AL,1,210,Auburn City School District,"62,657","7,410",609
AL,1,240,Autauga County School District,"55,869","9,688","1,376"
AL,1,270,Baldwin County School District,"223,234","35,515","4,641"
AL,1,300,Barbour County School District,"12,909","1,622",671
AL,1,330,Bessemer City School District,"27,439","4,649","1,478"
AL,1,360,Bibb County School District,"22,394","3,311",808
AL,1,390,Birmingham City School District,"212,192","30,116","10,336"
AL,1,420,Blount County School District,"51,188","8,816","1,843"
AL,1,12,Boaz City School District,"9,759","1,756",387
AL,1,450,Brewton City School District,"5,156",871,233
AL,1,480,Bullock County School District,"10,101","1,541",591
AL,1,510,Butler County School District,"19,448","3,174","1,024"
AL,1,540,Calhoun County School District,"54,310","9,207","1,687"
AL,1,600,Chambers County School District,"26,944","4,104","1,125"
AL,1,630,Cherokee County School District,"26,196","3,734",795
AL,1,188,Chickasaw City School District,"6,102",984,324
AL,1,660,Chilton County School District,"44,428","7,880","1,643"
AL,1,690,Choctaw County School District,"12,589","1,818",508
AL,1,720,Clarke County School District,"18,232","2,817",825
AL,1,750,Clay County School District,"13,235","1,969",433
AL,1,780,Cleburne County School District,"14,555","2,406",419
AL,1,810,Coffee County School District,"19,622","3,453",737
AL,1,840,Colbert County School District,"23,977","3,592",617
AL,1,870,Conecuh County School District,"12,067","1,834",597
AL,1,900,Coosa County School District,"10,663","1,284",339
AL,1,930,Covington County School District,"21,677","3,408",757
AL,1,960,Crenshaw County School District,"13,772","2,345",542
AL,1,990,Cullman City School District,"15,482","2,363",403
AL,1,1020,Cullman County School District,"68,263","11,269","1,772"
AL,1,1050,Dale County School District,"14,918","2,333",578
AL,1,1080,Daleville City School District,"11,262","1,734",468
AL,1,1110,Dallas County School District,"19,587","3,359","1,056"
AL,1,1140,DeKalb County School District,"57,367","10,346","3,030"
AL,1,1170,Decatur City School District,"55,869","9,221","1,847"
AL,1,1200,Demopolis City School District,"6,704","1,129",399
AL,1,1230,Dothan City School District,"68,731","11,226","2,979"
AL,1,1260,Elba City School District,"5,424",862,230
AL,1,1290,Elmore County School District,"73,914","12,167","2,114"
AL,1,1320,Enterprise City School District,"27,756","4,969",976
AL,1,1350,Escambia County School District,"31,477","5,153","1,213"
AL,1,1380,Etowah County School District,"59,013","9,442","1,732"
AL,1,1410,Eufaula City School District,"11,777","2,151",797
AL,1,1440,Fairfield City School District,"11,098","1,859",530
AL,1,1470,Fayette County School District,"15,069","2,328",490
AL,1,1530,Florence City School District,"39,610","5,057","1,251"
AL,1,1560,Fort Payne City School District,"14,146","2,506",829
AL,1,1,Fort Rucker School District,"4,547",861,133
AL,1,1590,Franklin County School District,"21,646","3,859",864
AL,1,1620,Gadsden City School District,"36,172","5,246","1,893"
AL,1,1640,Geneva City School District,"6,156",984,310
AL,1,1660,Geneva County School District,"20,115","3,353",671
AL,1,1680,Greene County School District,"8,111","1,302",572
AL,1,1690,Guntersville City School District,"8,569","1,343",270
AL,1,1710,Hale County School District,"14,651","2,382",729
AL,1,1720,Haleyville City School District,"8,347","1,267",278
AL,1,1730,Hartselle City School District,"13,864","2,494",259
AL,1,1740,Henry County School District,"17,198","2,612",718
AL,1,1760,Homewood City School District,"25,157","3,771",275
AL,1,7,Hoover City School District,"83,044","14,541",955
AL,1,1770,Houston County School District,"38,360","6,639","1,496"
AL,1,1800,Huntsville City School District,"200,926","27,663","5,467"
AL,1,1830,Jackson County School District,"37,303","5,816","1,118"
AL,1,1860,Jacksonville City School District,"12,650","1,564",361
AL,1,1890,Jasper City School District,"13,596","2,070",468
AL,1,1920,Jefferson County School District,"231,296","38,498","6,883"
AL,1,1950,Lamar County School District,"13,805","2,168",423
AL,1,1980,Lanett City School District,"6,310",927,413
AL,1,2010,Lauderdale County School District,"53,119","8,257","1,222"
AL,1,2040,Lawrence County School District,"32,924","5,259","1,100"
AL,1,2070,Lee County School District,"66,200","11,756","1,712"
AL,1,11,Leeds City School District,"11,920","1,728",273
AL,1,2100,Limestone County School District,"66,559","11,122","1,644"
AL,1,2130,Linden City School District,"4,231",595,299
AL,1,2160,Lowndes County School District,"9,726","1,553",551
AL,1,2190,Macon County School District,"18,068","2,221",836
AL,1,8,Madison City School District,"48,401","9,775",690
AL,1,2220,Madison County School District,"129,696","22,826","2,435"
AL,1,2250,Marengo County School District,"7,928","1,358",382
AL,1,2310,Marion County School District,"24,011","3,709",810
AL,1,6,Marshall County School District,"49,087","8,800","1,927"
AL,1,3,Maxwell AFB School District,"2,482",243,27
AL,1,2350,Midfield City School District,"5,350","1,101",351
AL,1,2370,Mobile County School District,"387,152","64,981","15,556"
AL,1,2400,Monroe County School District,"20,733","3,315","1,001"
AL,1,2430,Montgomery County School District,"218,600","36,302","8,871"
AL,1,2480,Morgan County School District,"50,045","8,410","1,271"
AL,1,2490,Mountain Brook City School District,"20,342","4,609",267
AL,1,2520,Muscle Shoals City School District,"13,400","2,234",264
AL,1,2550,Oneonta City School District,"6,638","1,001",224
AL,1,2580,Opelika City School District,"31,010","5,135",961
AL,1,2610,Opp City School District,"6,530","1,090",336
AL,1,2635,Oxford City School District,"22,611","3,916",732
AL,1,2640,Ozark City School District,"16,783","2,694",848
AL,1,194,Pelham City School District,"23,926","4,132",283
AL,1,2650,Pell City City School District,"29,752","4,994",807
AL,1,2670,Perry County School District,"8,923","1,360",613
AL,1,2700,Phenix City City School District,"36,217","6,443","1,672"
AL,1,2730,Pickens County School District,"19,930","2,838",912
AL,1,2760,Piedmont City School District,"6,397","1,029",254
AL,1,2790,Pike County School District,"14,850","2,301",582
AL,1,195,Pike Road City School District,"5,404","1,043",56
AL,1,2820,Randolph County School District,"16,690","2,487",601
AL,1,2850,Roanoke City School District,"6,032","1,032",372
AL,1,2880,Russell County School District,"26,419","4,374",953
AL,1,2910,Russellville City School District,"9,716","1,786",439
AL,1,185,Saraland City School District,"13,812","2,211",305
AL,1,189,Satsuma City School District,"6,144","1,008",181
AL,1,2940,Scottsboro City School District,"14,323","2,090",384
AL,1,2970,Selma City School District,"17,609","3,114","1,300"
AL,1,3000,Sheffield City School District,"9,163","1,327",400
AL,1,3030,Shelby County School District,"131,961","22,873","1,574"
AL,1,3062,St. Clair County School District,"57,419","9,604","1,210"
AL,1,3090,Sumter County School District,"12,427","1,647",724
AL,1,3120,Sylacauga City School District,"12,436","2,005",438
AL,1,3150,Talladega City School District,"15,580","2,329",657
AL,1,3180,Talladega County School District,"47,911","7,280","1,669"
AL,1,3210,Tallapoosa County School District,"21,802","3,228",690
AL,1,3240,Tallassee City School District,"8,940","1,510",306
AL,1,3270,Tarrant City School District,"6,428","1,292",488
AL,1,3300,Thomasville City School District,"5,390",845,189
AL,1,3330,Troy City School District,"18,264","2,243",583
